Team Numer,Match Number,Alliance Teams,Alliance Color,Score,Alliance Winner
1339,1,"1339, 1799, 4499, ",red,red: 165 - blue: 92,red
1339,2,"1339, 1799, 4499, ",red,red: 161 - blue: 133,red
1339,1,"1011, 1339, 662, ",blue,red: 10 - blue: 81,blue
1339,20,"1339, 1410, 2261, ",red,red: 120 - blue: 98,red
1339,26,"5493, 1339, 9068, ",red,red: 92 - blue: 55,red
1339,32,"1619, 3729, 1339, ",red,red: 161 - blue: 32,red
1339,40,"4293, 1303, 1339, ",blue,red: 73 - blue: 123,blue
1339,45,"2083, 1339, 2594, ",red,red: 99 - blue: 127,blue
1339,52,"1339, 2240, 1977, ",blue,red: 86 - blue: 124,blue
1339,60,"6920, 1339, 2996, ",red,red: 122 - blue: 70,red
1339,69,"1339, 3648, 3807, ",red,red: 137 - blue: 115,red
1339,78,"4593, 4550, 1339, ",blue,red: 56 - blue: 139,blue
1339,8,"3374, 4388, 1339, ",blue,red: 124 - blue: 130,blue
1339,86,"1339, 7737, 5763, ",blue,red: 97 - blue: 95,red
1339,1,"1339, 1799, 4499, ",red,red: 169 - blue: 122,red
1339,1,"1339, 1799, 4499, ",red,red: 139 - blue: 100,red
1339,1,"1339, 1799, 4499, ",red,red: 164 - blue: 121,red
